Site ID,TURF,C,G,S,Z,MA,OL,SEAG,DCA,CA,DC,SPR,U,TWS,points
BISC-P11a,0,5,85,5,0,5,0,0,0,0,0,0,0,0,20
BISC-P11a,0,0,73.7,0,0,0,0,0,0,0,0,26.3,0,5.3,19
BISC-P11a,0,25,30,5,0,0,0,0,10,0,0,30,0,0,20
BISC-P11a,0,0,63.2,0,0,0,0,0,5.3,0,0,31.6,0,5.3,19
BISC-P11a,0,5,35,0,0,0,0,0,0,0,0,60,0,0,20
BISC-P11a,5,0,40,5,0,0,0,0,5,0,0,45,0,0,20
BISC-P11a,0,0,5,0,0,0,0,0,0,0,0,95,0,0,20
BISC-P11a,0,0,66.7,0,0,0,0,0,0,0,0,33.3,0,11.1,18
BISC-P11a,0,15,55,0,0,0,0,0,0,0,0,30,0,0,20
BISC-P11a,25,10,20,20,0,5,0,0,0,0,0,20,0,0,20
BISC-P11a,5,0,60,0,0,5,0,0,0,0,0,30,0,0,20
BISC-P11a,5,5,15,0,0,0,0,0,0,5,0,70,0,0,20
BISC-P11a,0,0,40,15,0,10,0,0,5,0,0,30,0,0,20
BISC-P11a,0,0,10.5,5.3,0,15.8,0,0,0,0,0,68.4,0,5.3,19
BISC-P11a,0,0,40,5,0,5,0,0,5,0,0,45,0,0,20
BISC-P11a,5,0,50,10,0,0,0,0,0,0,0,35,0,0,20
BISC-P11a,0,0,65,0,5,10,0,0,0,0,0,20,0,0,20
BISC-P11a,0,0,68.4,5.3,0,0,0,0,0,5.3,0,21.1,0,5.3,19
BISC-P11a,0,50,30,0,0,0,0,0,0,0,0,20,0,0,20
BISC-P11a,0,15.8,63.2,0,5.3,0,0,0,0,0,0,15.8,0,5.3,19
BISC-P11a,0,0,50,10,0,0,0,0,5,5,0,30,0,0,20
BISC-P11a,5.6,5.6,16.7,0,0,16.7,0,0,0,0,0,55.6,0,11.1,18
BISC-P11a,5,30,20,5,0,10,0,0,10,0,0,20,0,0,20
BISC-P11a,10.5,0,42.1,5.3,0,0,0,0,5.3,0,0,36.8,0,5.3,19
BISC-P11a,0,0,11.1,0,0,0,0,0,5.6,0,0,83.3,0,11.1,18
BISC-P11a,0,15,10,0,0,0,0,0,0,0,0,75,0,0,20
BISC-P11a,0,0,55,0,0,0,0,0,0,0,0,45,0,0,20
BISC-P11a,0,0,10.5,0,0,10.5,0,0,5.3,0,0,73.7,0,5.3,19
BISC-P11a,10,10,25,0,0,0,0,0,0,0,0,55,0,0,20
BISC-P11a,0,0,70,0,0,0,0,0,0,0,0,30,0,0,20
BISC-P11a,5,5,50,0,0,5,0,0,0,0,0,35,0,0,20
BISC-P11a,0,10,30,10,0,10,0,0,0,0,0,40,0,0,20
BISC-P11a,0,0,60,0,0,0,0,0,0,0,0,40,0,0,20
BISC-P11a,22.2,0,33.3,16.7,0,0,0,0,0,0,0,27.8,0,11.1,18
BISC-P11a,0,0,31.6,0,0,0,0,0,0,0,0,68.4,0,5.3,19
BISC-P11a,0,0,36.8,0,0,0,0,0,0,0,0,63.2,0,5.3,19
BISC-P11a,0,0,0,0,0,0,0,36.8,0,0,0,63.2,0,5.3,19
BISC-P11a,0,0,5,0,0,0,0,0,0,0,0,95,0,0,20
BISC-P11a,0,0,73.7,0,0,0,0,0,0,0,0,26.3,0,5.3,19
BISC-P11a,0,0,31.6,15.8,0,5.3,0,0,0,0,0,47.4,0,5.3,19
BISC-P11a,0,20,5,5,0,0,0,0,0,15,0,55,0,0,20
BISC-P11a,0,0,25,5,0,5,0,0,0,0,0,65,0,0,20
BISC-P11a,0,0,84.2,0,0,0,0,0,0,0,0,15.8,0,5.3,19
BISC-P11a,0,10.5,47.4,0,0,0,0,0,0,0,0,42.1,0,5.3,19
BISC-P11a,0,15,0,0,0,0,0,0,0,0,0,85,0,0,20
BISC-P11a,0,0,0,0,0,0,0,0,0,0,0,100,0,0,20
BISC-P11a,17.6,0,35.3,5.9,0,0,0,0,0,0,0,41.2,0,17.6,17
BISC-P12a,0,10,5,15,0,0,0,0,0,0,0,70,0,0,20
BISC-P12a,0,11.11111111,27.77777778,0,0,0,0,0,0,0,0,61.11111111,0,11.11111111,18
BISC-P12a,0,31.57894737,5.263157895,0,0,0,0,0,0,0,0,63.15789474,0,5.263157895,19
BISC-P12a,0,0,45,15,0,5,0,0,0,5,0,30,0,0,20
BISC-P12a,5.263157895,0,0,0,0,15.78947368,0,0,5.263157895,0,0,73.68421053,0,5.263157895,19
BISC-P12a,0,5,20,5,0,5,0,0,0,0,0,65,0,0,20
